"carat","cut","color","clarity","depth_percentage","table","price","length","width","depth"
0.9,"Good","E","VS2",63.7,54,4.77,6.13,6.15,3.91
0.77,"Premium","G","SI2",61.3,58,2.129,5.94,5.88,3.62
0.8,"Ideal","F","SI2",62.5,56,3.066,5.94,5.99,3.73
0.7,"Premium","G","VS2",58.2,60,2.328,5.84,5.78,3.38
1.11,"Good","I","VS1",59.2,64,4.817,6.8,6.77,4.02
1.08,"Ideal","I","SI1",62.1,59,4.521,6.57,6.53,4.07
1.04,"Ideal","G","SI2",61.9,58,4.973,6.47,6.51,4.02
0.92,"Ideal","F","SI2",61.5,53,4.691,6.26,6.3,3.86
1.33,"Good","J","VS2",57.4,62,5.251,7.3,7.23,4.17
0.9,"Ideal","H","SI2",62.3,57,3.794,6.16,6.19,3.85
1.01,"Ideal","D","SI2",61.2,56,4.753,6.41,6.46,3.94
0.84,"Very Good","F","SI2",62.8,57,2.656,5.99,6.04,3.78
0.9,"Very Good","I","SI2",60.5,56,3.464,6.22,6.24,3.77
0.7,"Premium","H","SI1",62,58,2.155,5.65,5.71,3.52
0.71,"Ideal","D","VS2",62.5,55,3.217,5.71,5.74,3.58
1.01,"Premium","D","VS1",61.1,56,6.733,6.43,6.36,3.91
0.72,"Ideal","E","VVS2",62,54.9,4.094,5.75,5.78,3.57
0.7,"Fair","H","VS1",64.9,56,2.152,5.68,5.56,3.65
0.77,"Premium","F","SI2",62.2,58,2.282,5.9,5.85,3.66
1.01,"Very Good","E","VS1",62.2,56,7.039,6.38,6.42,3.98
1.21,"Premium","E","SI2",61.7,59,5.92,6.83,6.78,4.2
0.78,"Ideal","H","SI1",61.1,57,2.616,5.9,5.94,3.62
1.01,"Very Good","E","SI1",62.8,57,5.499,6.37,6.41,4.01
0.7,"Fair","G","VS2",57.3,63,2.273,5.78,5.84,3.33
0.7,"Good","H","VS2",63.8,60,2.083,5.59,5.51,3.54
0.71,"Premium","F","SI2",60.2,60,2.331,5.8,5.77,3.48
1.22,"Premium","I","VS2",59.3,59,6.045,6.96,7.01,4.14
0.97,"Ideal","G","SI2",62.7,57,4.101,6.31,6.28,3.95
0.7,"Very Good","E","VS2",62.8,57,2.553,5.66,5.68,3.56
0.57,"Ideal","F","VVS2",60.2,57,2.321,5.38,5.41,3.25
1.01,"Very Good","F","VS2",60.5,59,6.944,6.51,6.54,3.95
0.7,"Very Good","D","SI1",61.1,57,2.677,5.74,5.66,3.48
1.17,"Ideal","H","SI2",62.3,57,5.111,6.78,6.74,4.21
1.21,"Ideal","I","SI1",60.6,55,5.556,6.92,6.87,4.18
0.91,"Very Good","E","SI2",63,56,3.772,6.12,6.16,3.87
1,"Ideal","E","SI1",62.9,56,5.935,6.33,6.38,4
1.03,"Premium","E","VS2",62.5,59,6.072,6.42,6.44,4.02
0.7,"Very Good","D","VS2",59.7,59,2.999,5.82,5.78,3.46
1,"Very Good","E","SI1",63.1,58,4.435,6.34,6.2,3.95
0.71,"Ideal","E","SI2",61.2,57,2.619,5.75,5.78,3.53
1.47,"Premium","J","VS2",61.5,58,7.203,7.31,7.29,4.49
1,"Good","F","SI1",64,57,4.452,6.33,6.29,4.04
1.02,"Premium","G","VS1",62,59,6.238,6.45,6.39,3.98
1.09,"Ideal","D","SI2",61.7,59,5.41,6.64,6.62,4.09
1.03,"Premium","J","SI2",62.8,58,3.634,6.48,6.41,4.05
1.03,"Premium","D","SI1",61.2,54,6.056,6.61,6.53,4.02
0.93,"Premium","F","SI1",62.5,58,4.081,6.19,6.22,3.88
1.03,"Very Good","E","VS1",62.8,55,7.677,6.4,6.52,4.06
1,"Ideal","I","SI1",61.5,57,4.649,6.39,6.43,3.94
1.11,"Fair","H","SI1",65.7,61,5.178,6.42,6.39,4.21
0.61,"Very Good","D","VVS2",59.6,57,2.763,5.56,5.58,3.32
0.91,"Very Good","E","SI2",63.4,58,3.379,6.15,6.09,3.88
1.08,"Ideal","H","SI2",61.2,57.4,4.564,6.57,6.63,4.04
0.72,"Ideal","F","SI1",62.4,57,2.514,5.71,5.74,3.57
1,"Good","E","SI1",63.7,60,5.174,6.29,6.24,3.99
1.01,"Premium","G","SI1",60,58,4.805,6.55,6.51,3.92
0.7,"Premium","F","VVS1",63,60,3.204,5.62,5.59,3.53
1.1,"Premium","I","SI2",62.9,59,3.604,6.6,6.53,4.13
1.41,"Premium","H","SI2",59.1,57,7.106,7.41,7.34,4.36
1.06,"Premium","F","VS2",62.3,58,6.399,6.56,6.51,4.07
0.72,"Ideal","F","VS2",61.9,54,2.568,5.77,5.74,3.56
0.57,"Fair","E","VVS1",58.7,66,2.805,5.34,5.43,3.16
0.74,"Very Good","F","SI1",62.7,58,2.715,5.71,5.78,3.6
1,"Very Good","E","VS1",63,56,7.453,6.39,6.41,4.03
1.11,"Ideal","D","SI2",61.6,55,5.547,6.62,6.66,4.09
1.09,"Premium","G","VS2",61,59,6.906,6.6,6.65,4.04
1.12,"Premium","G","I1",60.4,59,2.383,6.71,6.67,0
1.02,"Premium","H","SI1",62.9,59,4.884,6.41,6.38,4.02
0.83,"Ideal","E","SI2",62.2,57,2.87,6,6.05,3.75
1.01,"Very Good","H","SI1",63.4,55,4.249,6.32,6.27,3.99
1.01,"Very Good","F","VS2",61.1,56,5.988,6.49,6.56,3.99
1,"Good","G","SI1",62.5,65,4.528,6.24,6.31,3.92
0.52,"Ideal","G","IF",61.7,56,2.387,5.19,5.15,3.19
1.01,"Very Good","I","SI1",63.4,62,4.072,6.25,6.18,3.94
0.9,"Ideal","G","VVS2",61.9,56,5.242,6.22,6.15,3.83
1,"Very Good","E","SI1",63.1,57,5.051,6.36,6.39,4.02
0.9,"Fair","E","VS1",67.6,56,3.276,5.94,5.9,4
0.71,"Very Good","H","SI1",62.1,61,2.354,5.63,5.71,3.52
1.3,"Very Good","J","VS2",61.6,56,5.832,7.02,7.07,4.34
0.9,"Very Good","F","VS2",63.1,59,4.627,6.13,6.05,3.84
1.02,"Very Good","H","VS1",62.8,59,5.598,6.34,6.47,4.02
1.54,"Premium","I","SI2",59.4,61,7.727,7.56,7.49,4.47
0.71,"Very Good","F","VS1",60.1,62,2.765,5.74,5.77,3.46
1.05,"Good","D","SI2",60,63,4.56,6.59,6.64,3.97
0.9,"Fair","I","SI1",65.7,58,2.873,6.03,6,3.95
1.2,"Premium","H","SI2",61.4,58,5.779,6.81,6.77,4.17
0.91,"Ideal","G","VS2",62.3,57,4.257,6.18,6.24,3.87
1.02,"Ideal","G","SI1",62.2,56,5.082,6.44,6.46,4.01
1.03,"Very Good","G","SI2",62.2,56,4.374,6.46,6.49,4.03
0.71,"Premium","F","VS2",62.8,57,2.801,5.69,5.64,3.56
0.9,"Premium","G","VS1",62.7,58,4.579,6.15,6.06,3.83
1,"Premium","F","VS2",60.5,59,6.64,6.57,6.39,3.92
1.1,"Very Good","J","VS1",60.9,59,4.545,6.65,6.74,4.08
1.02,"Ideal","E","SI2",62.7,57,4.585,6.35,6.44,4.01
1.01,"Very Good","G","SI2",59.3,61,4.435,6.56,6.52,3.88
0.9,"Good","I","VVS1",63.9,63,3.741,6.04,6.07,3.87
0.75,"Ideal","F","VVS1",60.6,57,5.288,5.88,5.94,3.59
0.73,"Premium","F","SI1",62.1,58,2.527,5.74,5.72,3.56
0.7,"Very Good","G","SI1",61.8,56,2.106,5.7,5.76,3.54
1.13,"Ideal","H","I1",61.1,56,3.603,6.71,6.77,4.12
1.01,"Good","G","SI1",63.3,59,4.781,6.24,6.31,3.97
0.77,"Ideal","G","VS1",62.4,54,3.121,5.93,5.89,3.69
0.92,"Ideal","G","SI2",62.4,56,4.068,6.21,6.23,3.88
0.81,"Good","G","VS2",62.9,58,3.25,5.88,5.94,3.72
1.05,"Very Good","H","SI1",60.5,58,5.406,6.55,6.6,3.98
0.97,"Premium","F","SI1",62.7,59,4.481,6.31,6.28,3.95
1.01,"Very Good","F","VS2",63.1,60,6.533,6.39,6.36,4.02
0.72,"Very Good","I","VS2",61.6,59,2.359,5.71,5.75,3.53
1.01,"Very Good","E","SI2",63.3,58,4.244,6.36,6.3,4.01
0.72,"Very Good","E","VS2",63.8,57,3.035,5.66,5.69,3.62
1.15,"Premium","E","SI2",62.5,58,4.25,6.65,6.72,4.18
1.01,"Premium","H","SI2",60.3,60,4.638,6.49,6.47,3.91
0.76,"Ideal","H","SI1",61.3,55,3.05,5.87,5.93,3.62
0.72,"Good","F","VS2",63.5,55,2.7,5.7,5.74,3.63
1.05,"Premium","F","SI1",62.8,59,4.879,6.43,6.4,4.03
0.91,"Very Good","I","SI1",62.8,57,3.703,6.09,6.18,3.85
0.72,"Ideal","E","VS2",61.5,56,3.601,5.77,5.81,3.56
1.09,"Very Good","F","SI2",58.6,63,4.629,6.73,6.78,3.96
1.13,"Very Good","H","SI2",62,58,5.179,6.67,6.71,4.15
1,"Fair","G","SI1",68.2,60,3.833,6.02,5.94,4.08
1.25,"Premium","I","VS2",62.2,57,5.925,6.92,6.84,4.28
0.72,"Premium","D","SI1",60.4,59,2.691,5.77,5.72,3.47
1.01,"Very Good","D","VS2",60.4,58,6.905,6.47,6.57,3.94
0.7,"Ideal","F","VS1",62.4,56,3.199,5.67,5.65,3.53
0.72,"Good","F","SI1",60.4,61,2.446,5.75,5.8,3.49
0.61,"Very Good","E","VS2",60,57,2.036,5.52,5.55,3.32
1.01,"Very Good","F","VS2",60.6,55,6.649,6.5,6.56,3.96
0.52,"Ideal","D","VVS2",59.9,57,2.217,5.21,5.28,3.14
0.7,"Ideal","E","VS2",61.1,56,3.176,5.73,5.76,3.51
0.7,"Very Good","F","VS2",62.3,59,2.744,5.63,5.7,3.53
0.81,"Premium","H","SI2",62.2,56,2.534,5.98,5.92,3.7
0.83,"Ideal","I","SI2",61.2,59,2.444,6.03,6.06,3.7
0.9,"Ideal","D","SI1",60.7,57,4.304,6.23,6.16,3.76
1.04,"Very Good","F","SI2",63.2,58,4.013,6.39,6.34,4.02
1.02,"Premium","G","VS1",60.8,58,6.505,6.52,6.47,3.95
0.72,"Premium","F","SI1",60.1,59,2.492,5.83,5.81,3.5
0.74,"Ideal","E","SI2",61.7,57,2.501,5.78,5.82,3.58
0.7,"Very Good","F","VS2",62.2,56,2.325,5.67,5.75,3.55
1,"Very Good","D","SI1",60.1,60,4.697,6.47,6.55,3.91
0.92,"Premium","J","SI1",62.9,58,2.858,6.22,6.18,3.9
1.08,"Ideal","G","SI2",61.3,57,5.057,6.55,6.64,4.04
1.14,"Premium","H","VS1",62,62,5.809,6.74,6.65,4.15
0.92,"Ideal","I","SI1",61.8,57,3.323,6.27,6.25,3.87
1.04,"Ideal","F","VS1",61.4,57,7.015,6.51,6.56,4.01
1.31,"Premium","I","SI2",59.1,59,5.744,7.2,7.15,4.24
1.03,"Ideal","F","SI2",61.6,55,4.683,6.46,6.49,3.99
0.77,"Ideal","F","SI1",61.9,57,2.642,5.88,5.91,3.65
1.11,"Ideal","G","VS1",61.5,58,7.639,6.7,6.66,4.11
1.05,"Ideal","H","SI2",61.9,56,4.586,6.56,6.49,4.04
1.02,"Good","G","SI2",59.9,58,4.159,6.48,6.55,3.9
1.13,"Very Good","G","SI1",63.1,58,5.526,6.65,6.59,4.18
1,"Premium","E","VS2",62.9,58,6.4,6.36,6.29,3.98
1.01,"Good","I","VS1",64.2,60,3.484,6.35,6.27,4.05
1.08,"Ideal","H","SI2",62,57,3.629,6.65,6.55,4.06
1,"Premium","F","VS2",59.9,60,5.606,6.11,6.07,3.65
1.01,"Ideal","D","SI1",62.4,54,5.147,6.52,6.38,4.03
1.05,"Very Good","I","VS2",62.4,59,4.975,6.48,6.51,4.05
0.54,"Ideal","E","VVS2",61.1,56,2.502,5.26,5.31,3.22
1.19,"Ideal","G","SI1",62.3,55,6.335,6.76,6.81,4.23
0.7,"Good","G","VS2",64.3,56,2.488,5.51,5.58,3.57
1.22,"Ideal","H","SI1",61.8,57,6.654,6.83,6.85,4.23
0.7,"Very Good","E","VS2",62.8,60,2.755,5.59,5.65,3.53
0.92,"Good","G","SI2",63.8,57,2.677,6.19,6.13,3.93
0.96,"Good","F","VS2",63.7,54,3.871,6.24,6.19,3.96
0.81,"Premium","F","SI1",60.3,59,3.097,5.98,6.05,3.63
1.01,"Very Good","G","VVS2",59.4,58,7.234,6.51,6.53,3.93
1.03,"Very Good","D","SI1",62.6,58,5.498,6.44,6.49,4.05
1.03,"Ideal","G","VS1",61.4,55,7.481,6.5,6.53,4
0.61,"Premium","F","VVS2",63,60,2.319,5.35,5.29,3.35
1.01,"Ideal","D","SI1",61.2,57,5.543,6.47,6.44,3.95
0.73,"Good","H","VS1",64.1,58.8,2.673,5.63,5.67,3.62
1.17,"Ideal","I","SI2",62.2,56,4.488,6.72,6.79,4.2
0.96,"Ideal","G","VS1",61.1,56,6.807,6.34,6.39,3.89
0.6,"Ideal","F","VVS2",60.9,57,2.698,5.45,5.48,3.33
1.09,"Premium","I","VS1",62.3,54,4.786,6.65,6.61,4.13
0.9,"Premium","G","VS2",62.9,62,3.85,6.06,6.02,3.8
0.53,"Ideal","F","VVS2",61.3,57,2.16,5.2,5.24,3.2
1.13,"Premium","D","SI2",58.3,60,3.883,6.83,6.78,3.97
1.01,"Very Good","F","VS2",59.2,59,6.257,6.49,6.61,3.88
1.5,"Very Good","H","SI1",63.5,58,7.459,7.23,7.17,4.57
0.9,"Good","F","VS2",63.8,55,4.309,6.09,6.13,3.9
1.03,"Ideal","F","VS2",60.7,56,6.662,6.58,6.56,3.99
0.63,"Ideal","H","VS1",61.2,57,2.04,5.5,5.55,3.37
0.9,"Good","F","VS2",64.3,57,4.617,6.07,6.09,3.91
1.26,"Premium","J","VS2",62.5,58,5.015,6.9,6.92,4.32
0.74,"Good","J","SI1",59.9,64,2.058,5.82,5.86,3.5
0.74,"Ideal","D","VS2",62.2,56,3.454,5.79,5.81,3.61
0.9,"Very Good","F","VS2",61.7,56,4.678,6.18,6.21,3.82
1.06,"Good","F","VS1",58.5,57,7.699,6.68,6.73,3.92
1.11,"Good","J","SI1",63.6,58,3.916,6.57,6.48,4.15
1,"Premium","E","SI2",61.2,60,4.62,6.42,6.45,3.94
0.71,"Ideal","I","SI1",61.4,56,2.255,5.73,5.77,3.53
1.01,"Fair","F","VS1",64.5,59,6.391,6.27,6.19,4.02
1.08,"Premium","G","VS2",59.4,59,6.532,6.75,6.68,3.99
1.02,"Very Good","H","SI2",63.5,60,3.998,6.33,6.24,3.99
0.7,"Premium","D","VS2",62.4,56,2.859,5.72,5.66,3.55
1.1,"Premium","H","SI1",63,58,4.916,6.6,6.55,4.14
1,"Good","J","SI1",59.5,61,3.616,6.46,6.52,3.86
0.73,"Ideal","E","VS1",60.9,55.8,3.66,5.8,5.85,3.55
0.72,"Ideal","H","VVS1",62,55,2.958,5.74,5.77,3.57
1,"Ideal","D","VS1",62.4,55,7.966,6.4,6.43,4
0.83,"Good","I","VS2",64.6,54,2.774,5.85,5.88,3.79
0.73,"Very Good","D","VS1",61.1,59,4.116,5.79,5.86,3.56
1.09,"Very Good","F","SI1",62.3,57,5.57,6.55,6.61,4.1
0.71,"Ideal","G","VS2",62.1,57,2.587,5.71,5.63,3.52
1.23,"Fair","E","I1",67.4,56,3.692,6.76,6.56,4.49
0.9,"Very Good","G","SI2",60.1,60,3.114,6.22,6.32,3.77
1.03,"Premium","H","VS2",61.6,61,5.364,6.51,6.44,3.99
0.7,"Ideal","D","SI1",61,59,2.804,5.68,5.7,3.47
0.78,"Premium","D","VS2",63,58,3.473,5.86,5.8,3.67
1.01,"Very Good","E","SI2",63.3,58,4.581,6.37,6.3,4.01
0.53,"Ideal","F","VVS2",62.7,56,2.03,5.16,6.2,3.25
1.05,"Very Good","H","SI2",63,59,4.158,6.44,6.48,4.07
0.79,"Very Good","F","SI1",61.5,58,3.047,5.94,5.97,3.66
0.71,"Very Good","E","VS1",63.3,59,2.946,5.64,5.67,3.58
1.08,"Ideal","E","VS2",62,54,7.548,6.62,6.57,4.09
1.01,"Good","J","SI1",63.6,54,3.699,6.44,6.36,4.07
0.73,"Ideal","E","SI2",61,57,2.434,5.81,5.87,3.56
1,"Premium","H","VS2",59.3,61,5.208,6.47,6.45,3.83
1.08,"Ideal","H","SI1",60.5,57,6.426,6.63,6.67,4.02
0.92,"Ideal","J","VS1",62.4,56,3.332,6.23,6.19,3.88
0.7,"Very Good","E","SI2",59.5,56,2.281,5.79,5.81,3.45
0.9,"Very Good","F","SI1",62.6,57,3.95,6.16,6.2,3.87
1.21,"Premium","H","VS1",62.3,58,7.094,6.77,6.84,4.24
0.8,"Premium","F","VS2",61.6,58,3.429,5.98,6.03,3.7
0.54,"Ideal","F","VS1",61.5,55,2.202,5.26,5.27,3.24
0.79,"Premium","G","SI1",61.7,60,2.389,5.93,5.91,3.65
0.73,"Very Good","F","SI1",61.7,60,2.771,5.79,5.82,3.58
0.81,"Good","D","SI1",64.1,54,3.324,5.92,5.96,3.81
0.7,"Very Good","D","SI1",61.1,58,2.768,5.66,5.73,3.48
1.06,"Ideal","I","VS1",61.2,57,5.651,6.59,6.56,4.03
0.7,"Premium","E","SI1",61.2,57,2.777,5.73,5.68,3.49
1.06,"Very Good","J","SI2",62,58,3.754,6.45,6.53,4.04
0.59,"Ideal","G","VVS2",61,57,2.024,5.41,5.44,3.31
1.16,"Premium","G","SI1",63,58,5.366,6.7,6.66,4.21
1.03,"Ideal","D","SI1",62.4,57,5.653,6.47,6.44,4.03
0.8,"Very Good","H","VVS2",62.9,56,3.036,5.9,5.96,3.73
0.7,"Ideal","I","VVS1",61.4,55,2.489,5.7,5.76,3.52
1.38,"Premium","J","VS2",60.2,59,6.175,7.29,7.19,4.36
0.71,"Premium","G","VS2",62.8,58,2.515,5.74,5.69,3.59
1,"Very Good","F","VS2",63.4,58,6.818,6.3,6.39,4.02
1,"Fair","G","SI1",65.2,62,3.965,6.19,6.08,4.01
1.01,"Very Good","D","SI1",62.4,58,4.666,6.39,6.47,4.01
1.06,"Ideal","I","SI2",61.9,59,4.103,6.47,6.52,4.02
1.08,"Very Good","H","SI1",63.2,58,5.516,6.57,6.49,4.13
0.53,"Ideal","G","VVS2",60.4,56,2.051,5.29,5.24,3.18
0.96,"Very Good","G","SI2",63.1,56,3.951,6.29,6.22,3.95
1.03,"Very Good","I","SI2",63.5,58,5.884,6.38,6.4,4.06
1.04,"Premium","E","VS2",61.1,59,7.047,6.54,6.56,4
1.01,"Premium","H","SI2",62.3,60,3.782,6.39,6.32,3.96
1.02,"Ideal","H","SI1",61.9,57,5.014,6.46,6.4,3.98
0.77,"Very Good","E","SI1",63.2,58,2.873,5.8,5.84,3.68
1.01,"Good","H","SI1",63.7,56,4.61,6.34,6.33,4.08
1,"Very Good","E","SI2",59.6,59,4.321,6.48,6.51,3.87
0.6,"Ideal","D","VS1",61.9,54.9,2.527,5.4,5.43,3.35
1,"Very Good","G","I1",62.5,62,3.011,6.42,6.35,3.99
0.55,"Ideal","D","VS2",60.6,56,2.224,5.3,5.36,3.23
1,"Ideal","E","SI1",60.1,62,5.629,6.46,6.48,3.89
1.05,"Very Good","H","VS2",63.2,58,5.292,6.46,6.39,4.06
1.2,"Very Good","F","SI2",62.8,55,6.085,6.74,6.8,4.25
0.9,"Very Good","H","SI2",61.5,59,3.208,6.15,6.2,3.8
1,"Good","D","SI2",63.3,56,4.62,6.35,6.38,4.03
1.02,"Very Good","D","SI1",63.3,60,5.778,6.33,6.38,4.02
1.08,"Very Good","E","SI2",59.8,59,4.415,6.65,6.73,4
0.9,"Very Good","F","VS1",62.5,58,5.279,6.12,6.17,3.84
1.5,"Good","F","SI2",62.9,59,7.727,7.19,7.32,4.56
0.73,"Very Good","I","SI2",63,58,2.093,5.71,5.75,3.61
1.09,"Ideal","H","VS2",62.9,58,6.453,6.56,6.51,4.11
0.62,"Ideal","D","SI1",62.2,55,2.062,5.51,5.45,3.41
0.86,"Ideal","I","VVS2",61.4,58,3.544,6.07,6.1,3.74
0.9,"Premium","E","SI1",60.3,60,3.917,6.27,6.2,3.76
1,"Premium","J","VS2",60.7,61,3.685,6.5,6.41,3.92
1.03,"Ideal","G","VVS1",61.7,56,7.708,6.45,6.56,4
1.01,"Premium","I","SI1",61.9,58,4.355,6.48,6.42,3.99
0.92,"Premium","H","SI1",62,60,3.618,6.21,6.27,3.87
1.11,"Very Good","H","SI1",61.9,58,5.78,6.63,6.65,4.11
0.76,"Good","F","VS1",59.9,61,3.057,5.89,5.98,3.56
1.23,"Ideal","D","SI1",60.9,54,6.557,7.01,6.96,4.25
0.77,"Ideal","E","SI1",61.6,57,3.189,5.87,5.91,3.63
0.82,"Premium","F","SI1",61.1,60,3.08,6.02,5.96,3.66
1.55,"Premium","I","VS2",61.3,58,7.656,7.48,7.44,4.57
1.01,"Very Good","F","SI1",63,58,4.619,6.31,6.39,4
1.01,"Premium","F","VS2",61.3,61,6.271,6.38,6.34,3.9
1.13,"Ideal","D","SI1",61.8,56,5.829,6.68,6.74,4.15
1.28,"Ideal","G","SI2",61.5,57,6.412,6.93,7,4.28
1.7,"Ideal","H","SI2",62.1,57,7.273,7.68,7.63,4.75
0.7,"Ideal","G","VS2",62.7,54,3.172,5.65,5.7,3.65
0.72,"Ideal","F","VS1",61.6,56,3.759,5.76,5.79,3.56
1.01,"Ideal","G","VVS2",60.9,54,7.934,6.5,6.53,3.97
1,"Good","E","SI1",63.2,57,5.299,6.36,6.39,4.03
1,"Premium","H","I1",62.7,59,2.058,6.39,6.33,3.98
0.9,"Premium","F","SI1",62,55,4.183,6.2,6.16,3.83
0.7,"Very Good","E","VS2",62.8,56,2.992,5.66,5.68,3.56
0.9,"Fair","I","SI1",65.3,61,2.873,5.98,5.94,3.89
1.01,"Very Good","D","SI2",60.3,57,4.588,6.51,6.56,3.94
0.9,"Very Good","E","SI2",63.4,62,3.084,6.02,6,3.81
1.08,"Ideal","G","SI1",61.8,56,5.256,6.55,6.58,4.06
1.21,"Very Good","D","SI2",60.9,58,5.922,6.83,6.89,4.18
0.9,"Very Good","E","SI1",62.2,60,4.054,6.14,6.17,3.83
1.1,"Ideal","J","SI1",62.2,55,4.275,6.62,6.65,4.13
0.76,"Ideal","J","VVS2",62,57,2.167,5.86,5.81,3.62
0.5,"Ideal","G","IF",61.5,56,2.104,5.11,5.14,3.15
1.35,"Good","I","SI2",57.9,60,4.423,7.33,7.29,4.23
1.35,"Very Good","J","VS1",62.1,56,5.759,7.04,7.1,4.39
0.9,"Very Good","E","SI2",60.7,61,3.139,6.16,6.22,3.76
0.91,"Premium","E","VS2",61.1,58,5.055,6.28,6.2,3.81
0.72,"Ideal","F","SI2",62,57,2.359,5.72,5.76,3.56
1.01,"Very Good","F","VS2",62.8,57,7.258,6.34,6.44,4.01
1.03,"Ideal","F","VS2",61.2,54,6.922,6.56,6.51,4
0.57,"Ideal","E","VVS2",61,57,2.507,5.37,5.36,3.27
1.12,"Premium","I","VS2",61.9,58,5.119,6.68,6.63,4.12
1.06,"Premium","I","SI2",58.4,62,3.579,6.7,6.65,3.9
1.01,"Good","F","SI2",63.7,59,4.242,6.38,6.28,4.03
1.01,"Very Good","E","VS2",60.4,57,6.577,6.45,6.49,3.91
1.23,"Ideal","H","VVS2",61.3,55,7.387,6.9,6.94,4.24
1.01,"Good","G","SI1",59.8,61,5.277,6.45,6.49,3.87
0.55,"Ideal","G","VVS2",62.5,56,2.022,5.22,5.25,3.27
1.15,"Very Good","E","VS2",62.9,56,6.929,6.65,6.68,4.19
0.9,"Good","J","SI2",63.9,56,2.693,6.1,6.17,3.92
0.7,"Very Good","H","SI1",63.4,61,2.176,5.62,5.58,3.55
1.04,"Good","G","VS1",63.8,57,6.36,6.42,6.37,4.08
0.92,"Premium","E","VS2",61.2,62,4.6,6.27,6.22,3.82
1.02,"Premium","F","SI2",60.2,61,4.238,6.52,6.48,3.91
0.7,"Very Good","F","SI1",59.8,59,2.401,5.74,5.8,3.45
0.7,"Ideal","E","VVS2",62.8,56,3.238,5.68,5.6,3.54
1,"Ideal","E","VS2",61.3,58,7.37,6.41,6.44,3.94
1.05,"Very Good","I","VS2",63.1,58,4.612,6.47,6.42,4.07
0.81,"Ideal","F","SI1",61.9,57,2.977,5.98,6.01,3.71
1.13,"Premium","F","I1",62.3,56,3.607,6.69,6.61,4.14
1.15,"Very Good","I","SI1",62.5,60,4.851,6.68,6.72,4.19
0.89,"Ideal","G","VVS2",61.7,55,4.062,6.22,6.19,3.83
1.08,"Ideal","H","SI2",59.3,57,4.455,6.71,6.74,3.99
1.04,"Ideal","D","SI1",61.7,57,5.952,6.55,6.51,4.03
0.7,"Very Good","G","VS2",60.6,60,2.507,5.67,5.78,3.47
0.9,"Good","H","SI2",64.3,58,3.114,5.97,6.03,3.86
1.04,"Premium","E","VS2",61.1,59,7.175,6.56,6.54,4
1.07,"Ideal","F","VS1",62.1,55,7.85,6.58,6.56,4.08
0.9,"Good","H","VS1",62.4,55,4.409,6.09,6.16,3.82
0.77,"Ideal","H","VS2",62,56,2.763,5.89,5.86,3.64
0.92,"Premium","D","SI1",62.3,58,4.35,6.21,6.27,3.89
1.01,"Very Good","F","SI1",61.3,59,4.969,6.44,6.47,3.96
1.29,"Very Good","G","SI2",63.3,61,4.937,6.84,6.8,4.32
1.12,"Very Good","I","VS2",62.9,55.9,5.249,6.59,6.62,4.16
0.54,"Ideal","G","VVS2",61.5,54,2.09,5.26,5.24,3.23
0.73,"Ideal","G","VVS1",61.6,56,3.487,5.77,5.82,3.57
1.09,"Ideal","E","SI1",61.1,55,5.935,6.66,6.7,4.08
0.91,"Ideal","I","VS2",62.2,56,3.751,6.22,6.18,3.86
0.74,"Ideal","F","VS1",62.3,56,3.17,5.79,5.76,3.6
1.53,"Very Good","H","SI2",60.6,63,6.597,7.43,7.38,4.49
1.02,"Good","G","VVS2",63.1,59,7.8,6.38,6.45,4.05
0.7,"Very Good","H","VS2",63,55.4,2.513,5.67,5.7,3.58
0.91,"Premium","H","VS2",61.8,60,4.238,6.22,6.18,3.83
0.7,"Good","F","VVS1",59.9,62,3.206,5.69,5.74,3.42
0.9,"Very Good","I","VS2",61.6,57,3.581,6.13,6.17,3.79
0.9,"Fair","F","SI1",65.3,61,3.326,6,5.95,3.9
0.7,"Premium","D","SI2",62.1,60,2.319,5.73,5.71,3.55
1.32,"Very Good","G","SI2",62.9,57,6.294,6.94,6.98,4.38
1.21,"Premium","H","SI2",60.9,61,5.218,6.88,6.82,4.17
0.6,"Premium","E","VVS2",62.4,61,2.393,5.36,5.31,3.33
0.92,"Premium","F","SI1",62.6,59,3.749,6.19,6.23,3.89
1.12,"Ideal","G","VS2",62.1,55,7.364,6.64,6.67,4.13
1.01,"Ideal","E","SI2",62.8,57,4.434,6.38,6.35,4
0.8,"Ideal","E","SI2",61,55,2.978,6,6.03,3.67
0.9,"Good","H","SI1",60.5,64,3.125,6.18,6.11,3.72
0.9,"Premium","E","SI2",59.5,61,3.084,6.3,6.24,3.73
1,"Premium","F","SI2",60.2,58,3.584,6.47,6.42,3.88
1.02,"Very Good","F","SI1",63.5,57,4.678,6.4,6.35,4.05
0.9,"Fair","F","VS2",64.4,53,4.229,6.08,6.04,3.9
1.08,"Premium","H","I1",61.7,59,3.118,6.54,6.59,4.05
1.09,"Premium","G","VS2",59.7,58,6.592,6.74,6.7,4.01
1.06,"Very Good","G","VS2",63.1,59,6.325,6.48,6.45,4.08
1.05,"Ideal","F","SI2",60.9,56,4.591,6.56,6.64,4.02
0.93,"Premium","F","SI1",62.5,58,4.01,6.22,6.19,3.88
1.02,"Very Good","D","SI1",60.3,56,6.863,6.55,6.57,3.96
1,"Very Good","G","VVS2",59.8,59,7.584,6.47,6.51,3.88
